datetime,open,close,high,low,volume,amount,MACD_1d,MACD_1d_Signal,MACD_1d_Hist,KDJ_1d_K,KDJ_1d_D,KDJ_1d_J,RSI_1d_6,RSI_1d_12,RSI_1d_24,ma5_1d,ma10_1d,ma20_1d
2025-02-20,52.4,51.17,52.4,50.88,361651.0,1860776686.0,1.212,0.602,1.22,65.68,72.42,52.2,59.9,59.84,55.42,51.478,50.719,47.96
2025-02-21,51.33,52.65,53.28,49.61,621383.0,3194255298.0,1.334,0.748,1.172,68.21,71.02,62.6,68.95,64.34,57.67,51.774,50.949,48.318
2025-02-24,52.65,51.98,52.94,51.38,389728.0,2028275672.0,1.361,0.871,0.981,66.05,69.36,59.42,61.42,60.97,56.32,51.966,51.073,48.647
2025-02-25,51.0,51.82,54.0,50.51,494887.0,2582231079.0,1.354,0.967,0.773,63.69,67.47,56.12,59.56,60.14,56.0,52.02,51.332,48.985
2025-02-26,51.4,51.09,51.7,50.66,313846.0,1603904196.0,1.275,1.029,0.492,55.58,63.51,39.74,51.08,56.36,54.5,51.742,51.439,49.298
2025-02-27,51.3,49.9,51.3,49.52,293812.0,1474742574.0,1.103,1.044,0.119,41.95,56.32,13.21,39.95,50.7,52.12,51.488,51.483,49.598
2025-02-28,49.65,46.51,49.89,46.48,371393.0,1775573281.0,0.686,0.972,-0.572,28.1,46.91,0.0,22.9,38.63,46.15,50.26,51.017,49.743
2025-03-03,46.59,46.69,47.6,45.89,233165.0,1092461642.0,0.365,0.851,-0.971,22.02,38.62,0.0,24.94,39.46,46.49,49.202,50.584,49.829
2025-03-04,45.88,47.35,47.5,45.85,181301.0,852993367.0,0.163,0.713,-1.101,20.81,32.68,0.0,32.77,42.58,47.75,48.308,50.164,50.034
2025-03-05,47.35,47.44,48.0,47.01,172256.0,818115715.0,0.009,0.572,-1.126,20.38,28.58,3.98,33.9,43.02,47.92,47.578,49.66,50.074
2025-03-06,47.78,48.85,49.31,47.77,283213.0,1375764901.0,0.002,0.458,-0.913,25.86,27.67,22.22,49.76,49.59,50.62,47.368,49.428,50.074
2025-03-07,48.5,47.8,48.84,47.58,224258.0,1078539610.0,-0.088,0.349,-0.874,25.21,26.85,21.93,40.97,45.34,48.66,47.626,48.943,49.946
2025-03-10,47.6,46.9,47.6,46.31,182096.0,853591846.0,-0.229,0.233,-0.926,22.79,25.5,17.38,34.68,41.98,47.03,47.668,48.435,49.754
2025-03-11,46.27,46.75,47.13,46.02,128542.0,599168409.0,-0.349,0.117,-0.932,20.7,23.9,14.3,33.64,41.42,46.76,47.548,47.928,49.63
2025-03-12,47.07,46.86,47.55,46.8,156563.0,738534670.0,-0.431,0.007,-0.876,22.13,23.31,19.78,35.34,42.04,47.0,47.432,47.505,49.472
2025-03-13,46.74,45.71,46.77,45.4,186731.0,858805963.0,-0.581,-0.11,-0.942,17.4,21.34,9.51,26.76,37.54,44.84,46.804,47.086,49.284
2025-03-14,45.2,46.6,46.67,45.2,186146.0,860981776.0,-0.621,-0.213,-0.818,22.95,21.88,25.1,40.24,42.72,46.81,46.564,47.095,49.056
2025-03-17,47.02,46.81,47.77,46.68,174202.0,822937507.0,-0.629,-0.296,-0.667,28.36,24.04,37.0,43.2,43.92,47.27,46.546,47.107,48.846
2025-03-18,47.01,46.89,47.4,46.66,121514.0,570729436.0,-0.622,-0.361,-0.521,32.61,26.9,44.05,44.45,44.4,47.46,46.574,47.061,48.612
2025-03-19,46.8,46.26,46.81,46.13,103416.0,479451254.0,-0.659,-0.421,-0.477,31.45,28.41,37.52,36.76,41.34,46.15,46.454,46.943,48.302
2025-03-20,46.16,45.79,46.45,45.78,101347.0,466405755.0,-0.718,-0.48,-0.476,28.62,28.48,28.89,31.83,39.14,45.17,46.47,46.637,48.032
2025-03-21,45.55,44.25,45.87,44.01,183386.0,821703299.0,-0.879,-0.56,-0.639,21.21,26.06,11.51,20.84,32.9,42.14,46.0,46.282,47.612
2025-03-24,44.05,43.97,44.48,42.7,162756.0,709347208.0,-1.018,-0.652,-0.732,22.49,24.87,17.73,19.38,31.89,41.61,45.432,45.989,47.212
2025-03-25,43.98,43.47,44.09,43.35,83697.0,365307136.0,-1.155,-0.752,-0.805,20.05,23.26,13.64,16.85,30.09,40.66,44.748,45.661,46.794
2025-03-26,43.45,43.4,43.85,43.31,74157.0,323205778.0,-1.254,-0.853,-0.803,17.97,21.5,10.92,16.49,29.84,40.52,44.176,45.315,46.41
2025-03-27,43.4,44.24,44.4,43.0,149773.0,656527557.0,-1.251,-0.932,-0.637,22.11,21.7,22.92,36.2,36.89,42.91,43.866,45.168,46.127
2025-03-28,44.19,43.86,44.7,43.85,119626.0,528792074.0,-1.264,-0.999,-0.531,22.96,22.12,24.65,32.09,35.15,42.11,43.788,44.894,45.994
2025-03-31,43.6,43.19,43.6,42.58,108246.0,466088949.0,-1.314,-1.062,-0.505,20.12,21.45,17.44,25.87,32.22,40.72,43.632,44.532,45.82
2025-04-01,43.3,42.82,43.58,42.8,93375.0,402092278.0,-1.367,-1.123,-0.489,15.48,19.46,7.51,22.93,30.68,39.96,43.502,44.125,45.593
2025-04-02,42.85,43.14,43.31,42.72,72488.0,312366722.0,-1.368,-1.172,-0.392,15.99,18.31,11.37,31.07,33.67,40.95,43.45,43.813,45.378
2025-04-03,42.76,44.56,45.35,42.76,315279.0,1411333394.0,-1.24,-1.186,-0.109,34.49,23.7,56.07,55.88,45.13,45.16,43.514,43.69,45.164
2025-04-07,43.51,45.23,47.9,42.97,755030.0,3469388702.0,-1.072,-1.163,0.182,39.6,29.0,60.79,63.35,49.61,47.02,43.788,43.788,45.035
2025-04-08,45.23,49.75,49.75,43.97,846180.0,3984882429.0,-0.567,-1.044,0.953,59.73,39.24,100.0,84.54,68.53,57.23,45.1,44.366,45.177
2025-04-09,49.75,51.18,53.5,49.12,1147970.0,5904606640.0,-0.052,-0.845,1.587,66.07,48.19,100.0,87.32,72.14,59.79,46.772,45.137,45.399
2025-04-10,49.8,49.73,51.28,48.0,835693.0,4183860598.0,0.238,-0.629,1.732,65.87,54.08,89.46,71.63,64.02,56.23,48.09,45.77,45.543
2025-04-11,49.01,49.0,50.17,48.57,582624.0,2874494427.0,0.403,-0.422,1.651,63.51,57.23,76.09,64.62,60.29,54.53,48.978,46.246,45.707
2025-04-14,48.99,49.33,49.83,48.0,486009.0,2376398631.0,0.554,-0.227,1.563,62.78,59.08,70.19,66.4,61.4,55.17,49.798,46.793,45.844
2025-04-15,48.84,47.7,49.0,47.5,345763.0,1657517228.0,0.537,-0.074,1.222,57.25,58.47,54.82,51.12,53.37,51.43,49.388,47.244,45.888
2025-04-16,47.7,47.01,48.3,46.66,290899.0,1382838281.0,0.462,0.033,0.857,51.36,56.1,41.88,45.77,50.33,49.94,48.554,47.663,45.894
2025-04-17,46.6,46.5,47.35,46.39,210295.0,985137570.0,0.357,0.098,0.518,45.41,52.54,31.17,41.88,48.12,48.84,47.908,47.999,45.906
2025-04-18,46.35,45.25,46.68,44.82,277552.0,1264115817.0,0.171,0.112,0.117,34.75,46.61,11.04,33.51,43.06,46.25,47.158,48.068,45.879
2025-04-21,45.11,45.77,46.1,44.86,189049.0,863423954.0,0.065,0.103,-0.076,26.82,40.01,0.43,39.54,45.66,47.46,46.446,48.122,45.955
2025-04-22,45.77,45.29,45.96,45.04,174324.0,790333659.0,-0.057,0.071,-0.256,20.3,33.44,0.0,35.93,43.65,46.45,45.964,47.676,46.021
2025-04-23,45.42,44.69,45.77,44.5,240097.0,1078255827.0,-0.2,0.017,-0.434,14.65,27.18,0.0,31.6,41.19,45.2,45.5,47.027,46.082
2025-04-24,44.6,43.99,44.65,43.68,182958.0,807064200.0,-0.366,-0.06,-0.612,11.45,21.94,0.0,27.04,38.44,43.76,44.998,46.453,46.111
2025-04-25,44.15,44.58,45.13,44.0,196342.0,876447461.0,-0.444,-0.137,-0.615,13.27,19.05,1.72,36.34,42.01,45.29,44.864,46.011,46.128
