datetime,open,close,high,low,volume,amount,MACD_1h,MACD_1h_Signal,MACD_1h_Hist,KDJ_1h_K,KDJ_1h_D,KDJ_1h_J,RSI_1h_6,RSI_1h_12,RSI_1h_24,ma5_1h,ma10_1h,ma20_1h
2025-04-07 10:30:00,43.51,47.58,47.9,43.13,450599.0,2080912703.0,0.381,-0.052,0.865,78.33,68.07,98.85,88.82,79.82,68.25,45.338,44.203,43.75
2025-04-07 11:30:00,47.58,46.53,47.6,46.46,66354.0,312838459.0,0.514,0.062,0.905,76.67,70.94,88.13,69.82,67.55,61.22,45.68,44.574,43.87
2025-04-07 14:00:00,46.54,45.15,46.86,45.15,81409.0,374250113.0,0.503,0.15,0.706,66.61,69.49,60.85,52.21,55.35,53.63,45.714,44.772,43.919
2025-04-07 15:00:00,45.15,45.23,46.0,42.97,156668.0,701387427.0,0.494,0.219,0.551,60.43,66.47,48.33,53.03,55.85,53.98,45.81,44.983,43.988
2025-04-08 10:30:00,45.23,47.3,47.72,43.97,431204.0,1994198707.0,0.647,0.304,0.686,69.73,67.56,74.07,69.41,66.52,61.67,46.358,45.404,44.208
2025-04-08 11:30:00,47.24,46.75,47.29,46.64,56996.0,267372482.0,0.716,0.387,0.658,72.04,69.05,78.02,62.47,62.17,58.94,46.192,45.765,44.415
2025-04-08 14:00:00,46.78,47.14,47.77,46.78,117773.0,556551363.0,0.793,0.468,0.649,76.22,71.44,85.78,65.41,63.99,60.24,46.314,45.997,44.631
2025-04-08 15:00:00,47.15,49.75,49.75,46.92,240208.0,1166759877.0,1.052,0.585,0.934,84.15,75.68,100.0,78.78,73.37,67.46,47.234,46.474,44.959
2025-04-09 10:30:00,49.75,51.67,52.68,49.12,705023.0,3597505686.0,1.396,0.747,1.298,85.97,79.11,99.68,84.18,77.97,71.44,48.522,47.166,45.378
2025-04-09 11:30:00,51.67,52.25,52.68,51.31,114948.0,598303418.0,1.696,0.937,1.519,89.17,82.46,100.0,85.52,79.16,72.5,49.512,47.935,45.836
2025-04-09 14:00:00,52.29,52.72,53.5,51.84,137434.0,723568202.0,1.949,1.139,1.62,90.31,85.08,100.0,86.61,80.1,73.33,50.706,48.449,46.326
2025-04-09 15:00:00,52.7,51.18,52.9,50.6,190565.0,985229334.0,2.003,1.312,1.382,86.2,85.45,87.69,66.71,68.91,66.42,51.514,48.914,46.744
2025-04-10 10:30:00,49.8,50.5,51.28,48.0,469287.0,2346979413.0,1.968,1.443,1.049,80.3,83.73,73.44,59.47,64.56,63.66,51.664,49.449,47.11
2025-04-10 11:30:00,50.54,50.5,51.07,50.12,97988.0,495340065.0,1.918,1.538,0.759,72.29,79.92,57.04,50.0,50.0,50.0,51.43,49.976,47.48
2025-04-10 14:00:00,50.53,50.32,50.87,50.16,71814.0,362413287.0,1.842,1.599,0.487,65.75,75.2,46.87,57.11,63.3,62.91,51.044,50.278,47.841
2025-04-10 15:00:00,50.32,49.73,50.63,49.31,196604.0,979127833.0,1.715,1.622,0.186,58.07,69.49,35.24,49.39,59.18,60.46,50.446,50.576,48.17
2025-04-11 10:30:00,49.01,49.24,50.17,49.0,245253.0,1213676978.0,1.557,1.609,-0.105,46.23,61.74,15.22,43.53,55.88,58.48,50.058,50.786,48.392
2025-04-11 11:30:00,49.23,49.27,49.5,48.57,115913.0,567886187.0,1.417,1.571,-0.307,38.52,54.0,7.56,44.02,56.04,58.57,49.812,50.738,48.606
2025-04-11 14:00:00,49.29,49.45,49.91,49.29,107281.0,532672479.0,1.306,1.518,-0.423,34.47,47.49,8.42,47.3,57.08,59.1,49.602,50.516,48.841
2025-04-11 15:00:00,49.45,49.0,49.49,48.8,114178.0,560258783.0,1.169,1.448,-0.559,29.78,41.58,6.17,40.22,53.62,57.18,49.338,50.191,49.063
2025-04-14 10:30:00,48.99,49.2,49.29,48.0,235949.0,1145622637.0,1.063,1.371,-0.615,32.05,38.41,19.33,44.64,54.94,57.82,49.232,49.839,49.144
2025-04-14 11:30:00,49.2,48.91,49.49,48.8,69476.0,341347799.0,0.946,1.286,-0.681,31.25,36.02,21.7,39.56,52.57,56.55,49.166,49.612,49.263
2025-04-14 14:00:00,48.92,49.22,49.38,48.55,57169.0,280005198.0,0.867,1.202,-0.67,35.0,35.68,33.64,47.26,54.85,57.59,49.156,49.484,49.466
2025-04-14 15:00:00,49.23,49.33,49.83,49.08,123416.0,609422997.0,0.805,1.123,-0.636,40.19,37.18,46.2,49.97,55.67,57.96,49.132,49.367,49.671
2025-04-15 10:30:00,48.84,47.91,49.0,47.6,174378.0,839622098.0,0.634,1.025,-0.783,30.81,35.06,22.32,27.8,44.28,51.83,48.914,49.126,49.702
2025-04-15 11:30:00,47.91,47.94,48.29,47.65,45166.0,216440874.0,0.495,0.919,-0.849,25.45,31.86,12.63,28.61,44.55,51.95,48.662,48.947,49.762
2025-04-15 14:00:00,47.94,47.7,48.0,47.51,53082.0,253066380.0,0.361,0.807,-0.893,19.6,27.77,3.27,25.85,42.79,50.96,48.42,48.793,49.79
2025-04-15 15:00:00,47.71,47.7,47.81,47.5,73137.0,348387876.0,0.252,0.696,-0.889,15.93,23.83,0.14,50.0,50.0,50.0,48.116,48.636,49.687
2025-04-16 10:30:00,47.7,47.89,48.27,47.63,81874.0,392670796.0,0.179,0.593,-0.828,16.2,21.28,6.03,33.19,44.84,51.75,47.828,48.48,49.498
2025-04-16 11:30:00,47.89,47.74,48.3,47.61,68260.0,327127408.0,0.108,0.496,-0.776,14.23,18.93,4.83,30.35,43.5,51.07,47.794,48.354,49.272
2025-04-16 14:00:00,47.76,47.09,47.8,47.0,62268.0,294984718.0,-0.001,0.396,-0.795,10.55,16.14,0.0,20.98,38.12,48.21,47.624,48.143,48.991
2025-04-16 15:00:00,47.08,47.01,47.27,46.66,78497.0,368055359.0,-0.093,0.298,-0.783,10.71,14.33,3.48,20.07,37.5,47.86,47.486,47.953,48.782
2025-04-17 10:30:00,46.6,47.17,47.35,46.55,77417.0,363996681.0,-0.151,0.209,-0.719,15.58,14.75,17.24,27.64,39.65,48.63,47.38,47.748,48.616
2025-04-17 11:30:00,47.15,47.01,47.18,46.81,28932.0,135926164.0,-0.207,0.125,-0.666,19.15,16.21,25.01,24.82,38.21,47.9,47.204,47.516,48.442
2025-04-17 14:00:00,47.03,46.72,47.17,46.63,40928.0,191686627.0,-0.272,0.046,-0.637,16.0,16.14,15.72,20.31,35.66,46.57,47.0,47.397,48.262
2025-04-17 15:00:00,46.71,46.5,46.85,46.39,63019.0,293528098.0,-0.338,-0.031,-0.614,12.59,14.96,7.85,17.43,33.79,45.57,46.882,47.253,48.1
2025-04-18 10:30:00,46.35,45.61,46.68,45.48,101904.0,469089475.0,-0.456,-0.116,-0.681,9.93,13.28,3.22,10.32,27.45,41.77,46.602,47.044,47.918
2025-04-18 11:30:00,45.6,44.97,45.88,44.95,77891.0,353024947.0,-0.595,-0.212,-0.766,6.82,11.13,0.0,7.63,23.93,39.32,46.162,46.771,47.704
2025-04-18 14:00:00,44.97,45.46,45.52,44.82,49764.0,224420891.0,-0.658,-0.301,-0.713,11.7,11.32,12.47,25.46,31.29,42.04,45.852,46.528,47.504
2025-04-18 15:00:00,45.45,45.25,45.54,45.25,47992.0,217580504.0,-0.716,-0.384,-0.664,13.47,12.04,16.33,23.16,29.94,41.21,45.558,46.279,47.316
2025-04-21 10:30:00,45.11,45.58,45.86,44.86,71952.0,327496793.0,-0.727,-0.453,-0.549,18.99,14.35,28.27,34.34,34.78,43.05,45.374,46.128,47.136
2025-04-21 11:30:00,45.59,45.7,45.82,45.53,27930.0,127606497.0,-0.718,-0.506,-0.425,25.09,17.93,39.41,38.26,36.52,43.72,45.392,45.997,46.975
2025-04-21 14:00:00,45.7,45.89,46.1,45.6,48891.0,223986767.0,-0.688,-0.542,-0.291,31.9,22.59,50.53,44.55,39.32,44.79,45.576,45.869,46.808
2025-04-21 15:00:00,45.89,45.77,45.9,45.69,40277.0,184333897.0,-0.666,-0.567,-0.198,36.87,27.35,55.91,41.36,38.16,44.23,45.638,45.745,46.63
2025-04-22 10:30:00,45.77,45.32,45.96,45.13,73280.0,332950740.0,-0.677,-0.589,-0.176,33.54,29.41,41.79,31.27,34.05,42.19,45.652,45.605,46.501
2025-04-22 11:30:00,45.32,45.16,45.45,45.04,28640.0,129427024.0,-0.69,-0.609,-0.162,31.21,30.01,33.62,28.32,32.69,41.48,45.568,45.471,46.362
2025-04-22 14:00:00,45.17,45.18,45.43,45.16,29923.0,135433252.0,-0.692,-0.626,-0.132,30.18,30.07,30.41,29.32,33.06,41.61,45.464,45.428,46.236
